season,manager,element_id,player,event_in,event_out
2026/27,Audun,12,Saka,1,
2026/27,Audun,13,Rice,1,
2026/27,Audun,25,Gyökeres,1,
2026/27,Audun,67,Rayan,1,
2026/27,Audun,68,Tavernier,1,
2026/27,Audun,82,Kelleher,1,
2026/27,Audun,142,James,1,
2026/27,Audun,149,Colwill,1,
2026/27,Audun,152,Palestra,1,
2026/27,Audun,157,Estêvão,1,
2026/27,Audun,222,Strand Larsen,1,
2026/27,Audun,356,Virgil,1,
2026/27,Audun,401,Marmoush,1,
2026/27,Audun,442,Pope,1,
2026/27,Audun,472,Murillo,1,
2026/27,David,10,White,1,
2026/27,David,28,Martinez,1,1
2026/27,David,55,Watkins,1,
2026/27,David,94,Schade,1,
2026/27,David,237,Ndiaye,1,
2026/27,David,334,Muharemović,1,
2026/27,David,366,Wirtz,1,
2026/27,David,367,Gakpo,1,
2026/27,David,391,Gvardiol,1,
2026/27,David,412,Lammens,1,
2026/27,David,427,Mbeumo,1,
2026/27,David,496,Kinsky,1,
2026/27,David,527,Richarlison,1,
2026/27,David,532,Ballard,1,
2026/27,David,534,Hume,1,
2026/27,David,552,Brobbey,1,
2026/27,Henrik,84,Collins,1,
2026/27,Henrik,200,Lacroix,1,
2026/27,Henrik,208,Sarr,1,
2026/27,Henrik,262,Smith Rowe,1,
2026/27,Henrik,277,Egan,1,
2026/27,Henrik,306,Greaves,1,
2026/27,Henrik,313,Clarke,1,
2026/27,Henrik,346,Calvert-Lewin,1,
2026/27,Henrik,379,Isak,1,
2026/27,Henrik,384,Donnarumma,1,
2026/27,Henrik,399,Cherki,1,
2026/27,Henrik,429,Rashford,1,
2026/27,Henrik,467,Sels,1,
2026/27,Henrik,490,Wood,1,
2026/27,Henrik,503,Van de Ven,1,
2026/27,Henrik R,60,Hill,1,
2026/27,Henrik R,70,Kluivert,1,
2026/27,Henrik R,112,Van Hecke,1,
2026/27,Henrik R,125,Georginio,1,
2026/27,Henrik R,130,Wieffer,1,
2026/27,Henrik R,155,Enzo,1,
2026/27,Henrik R,198,Henderson,1,
2026/27,Henrik R,248,Beto,1,1
2026/27,Henrik R,249,Barry,1,
2026/27,Henrik R,385,Trafford,1,
2026/27,Henrik R,387,O'Reilly,1,
2026/27,Henrik R,426,B.Fernandes,1,
2026/27,Henrik R,428,Cunha,1,
2026/27,Henrik R,480,Gibbs-White,1,
2026/27,Henrik R,569,Gonzalo,1,
2026/27,Henrik R,580,Araujo,1,
2026/27,Kriss,1,Raya,1,
2026/27,Kriss,8,Calafiori,1,
2026/27,Kriss,15,Ødegaard,1,
2026/27,Kriss,26,Havertz,1,
2026/27,Kriss,31,Konsa,1,
2026/27,Kriss,109,Verbruggen,1,
2026/27,Kriss,123,Hinshelwood,1,
2026/27,Kriss,165,João Pedro,1,
2026/27,Kriss,236,Dewsbury-Hall,1,
2026/27,Kriss,358,Kerkez,1,
2026/27,Kriss,368,Szoboszlai,1,
2026/27,Kriss,390,Rúben,1,
2026/27,Kriss,418,Maguire,1,
2026/27,Kriss,453,Barnes,1,1
2026/27,Kriss,491,Igor Jesus,1,
2026/27,Kriss,514,Tel,1,
2026/27,Morten,11,Mosquera,1,
2026/27,Morten,40,Rogers,1,
2026/27,Morten,110,Rushworth,1,
2026/27,Morten,113,F.Kadıoğlu,1,1
2026/27,Morten,226,Pickford,1,
2026/27,Morten,229,Tarkowski,1,
2026/27,Morten,260,Wilson,1,
2026/27,Morten,393,Khusanov,1,
2026/27,Morten,400,Doku,1,
2026/27,Morten,411,Haaland,1,
2026/27,Morten,417,Dalot,1,
2026/27,Morten,452,Bruno G.,1,
2026/27,Morten,465,Osula,1,
2026/27,Morten,471,Milenković,1,1
2026/27,Morten,492,Awoniyi,1,
2026/27,Morten,504,Vuskovic,1,
2026/27,Morten,542,E.Le Fée,1,
2026/27,Seb,4,Gabriel,1,
2026/27,Seb,79,Evanilson,1,
2026/27,Seb,140,Sánchez,1,
2026/27,Seb,144,Gusto,1,
2026/27,Seb,154,Palmer,1,
2026/27,Seb,201,Muñoz,1,
2026/27,Seb,223,Mateta,1,
2026/27,Seb,250,Leno,1,
2026/27,Seb,357,Frimpong,1,
2026/27,Seb,369,Ngumoha,1,
2026/27,Seb,398,Foden,1,
2026/27,Seb,499,Pedro Porro,1,
2026/27,Seb,515,Maddison,1,
2026/27,Seb,526,Solanke,1,
2026/27,Seb,554,Tzolis,1,
2026/27,Simon,61,Truffert,1,
2026/27,Simon,69,Scott,1,
2026/27,Simon,106,Thiago,1,
2026/27,Simon,124,Groß,1,
2026/27,Simon,136,Welbeck,1,
2026/27,Simon,156,Neto,1,
2026/27,Simon,350,A.Becker,1,
2026/27,Simon,362,Jacquet,1,
2026/27,Simon,388,Guéhi,1,
2026/27,Simon,397,Semenyo,1,
2026/27,Simon,423,Shaw,1,
2026/27,Simon,439,Šeško,1,
2026/27,Simon,481,Anderson,1,
2026/27,Simon,498,Senesi,1,
2026/27,Simon,529,Roefs,1,
